R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
IGVFFI1105KWKB,IGVFFI4135MBHF,gRNA,IGVFDS6847GSEQ,1,3,IGVFFI7175YGID,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI5499YBPL,IGVFFI1395YXPB,gRNA,IGVFDS6847GSEQ,1,5,IGVFFI7175YGID,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI7251BLVP,IGVFFI2043YFUN,gRNA,IGVFDS8493OWMF,1,3,IGVFFI9154LOZE,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2834YHMN,IGVFFI6584DLKM,gRNA,IGVFDS8493OWMF,1,5,IGVFFI9154LOZE,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8836EAZH,IGVFFI4516OYSK,hash,IGVFDS3599AKSM,1,5,IGVFFI1734XHHP,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI1996BTTH,IGVFFI8393MNMF,gRNA,IGVFDS7181KBXZ,1,3,IGVFFI0756NJJZ,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2628WJMT,IGVFFI8922WDMC,gRNA,IGVFDS7181KBXZ,1,5,IGVFFI0756NJJZ,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2039CXLR,IGVFFI5566QLWB,gRNA,IGVFDS7696ONVJ,1,5,IGVFFI7399HNJF,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI7923UTOU,IGVFFI2472AXYE,gRNA,IGVFDS7696ONVJ,1,3,IGVFFI7399HNJF,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6634UREC,IGVFFI4803DGAF,gRNA,IGVFDS8548HJBX,1,5,IGVFFI7589EDXY,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI9375NRXQ,IGVFFI6531AOMW,gRNA,IGVFDS8548HJBX,1,3,IGVFFI7589EDXY,IGVFFI9487JPEN,IGVFFI8270UPKB,
