batch	n_cells	guide_umi_median	guide_umi_mean	guide_umi_std	guide_umi_min	guide_umi_max	guide_umi_q25	guide_umi_q75	guides_per_cell_mean	guides_per_cell_std	guides_per_cell_min	guides_per_cell_max	guides_per_cell_median	n_cells_with_guide	n_cells_exactly_1_guide	frac_cells_with_guide	n_guides_total	cells_per_guide_median	cells_per_guide_mean	cells_per_guide_std	cells_per_guide_min	cells_per_guide_max
C7_S23	25989	674.0	1037.8445496171457	1140.3582853007663	11.0	35082.0	196.0	1489.0	2.1749586363461466	1.8456428925025412	0	19	2.0	21283	6213	0.8189233906652814						
C8_S24	27301	604.0	935.8812863997656	1027.1767161672985	10.0	14656.0	176.0	1340.0	2.1344639390498514	1.8145058851700582	0	17	2.0	22085	6329	0.8089447272993663						
D1_S25	21851	633.0	923.5548029838451	978.3474583451934	11.0	18052.0	189.0	1331.0	2.145027687520022	1.7867732605420468	0	14	2.0	17910	5240	0.8196421216420301						
D2_S26	27544	525.0	799.6603979088005	867.6869520021194	13.0	16198.0	151.0	1146.0	2.0624455416787684	1.778973244203297	0	15	2.0	22034	6671	0.7999564333430148						
D3_S27	25171	608.0	916.4681180723849	975.120011830227	13.0	13127.0	172.0	1329.0	2.1170394501608993	1.8113578206809808	0	15	2.0	20401	6162	0.8104962059512931						
D4_S28	26341	521.0	808.6172127102236	874.0063448213599	15.0	10849.0	152.0	1161.0	2.0243726510003417	1.7495671745696795	0	14	2.0	20927	6349	0.7944649026232868						
D5_S29	25511	594.0	933.4562345654815	1027.508123863497	15.0	14815.0	168.0	1347.0	2.0834541962290776	1.8078114186200815	0	23	2.0	20416	6189	0.8002822311943867						
D6_S30	26106	544.0	834.4466789243852	905.9147666228067	1.0	13612.0	160.0	1209.0	2.0886003217651115	1.782053884951358	0	22	2.0	21213	6409	0.8125718225695242						
D7_S31	24604	579.0	876.7300845390994	943.227505298953	8.0	15018.0	175.75	1258.0	2.1225816940334905	1.7941485366887644	0	14	2.0	20003	5883	0.8129978865225167						
D8_S32	26036	483.0	736.0018820095253	786.451716018775	2.0	16736.0	146.0	1063.0	2.041865109847903	1.7522831223789994	0	18	2.0	20957	6591	0.8049239514518359						
E1_S33	22425	601.0	926.6155629877369	1021.4591748639233	12.0	18153.0	164.0	1338.0	2.1031884057971015	1.7971915651388823	0	14	2.0	18055	5304	0.8051282051282052						
E2_S34	22304	659.0	1049.9557030129124	1193.8789942340727	7.0	18121.0	166.0	1528.0	2.0884146341463414	1.8129057326596367	0	18	2.0	17758	5233	0.7961800573888091						
E3_S35	23934	620.0	1015.3561460683546	1147.3803484769062	13.0	16138.0	161.0	1469.0	2.0353472048132364	1.7933392114416138	0	15	2.0	18787	5606	0.784950279936492						
