short_name	gene_name	n_cells_assigned	n_guides	label_canonical
Hon CM	FEZF2	446	6	tf_targeting
Hon CM	FGF3	1253	6	tf_targeting
Hon CM	FIGLA	1525	6	tf_targeting
Hon CM	FIZ1	1017	6	tf_targeting
Hon CM	FLI1	1493	6	tf_targeting
Hon CM	FLYWCH1	1845	6	tf_targeting
Hon CM	FOS	1346	12	tf_targeting
Hon CM	FOSB	3613	12	tf_targeting
Hon CM	FOSL1	1053	6	tf_targeting
Hon CM	FOSL2	770	6	tf_targeting
Hon CM	FOXA1	2024	6	tf_targeting
Hon CM	FOXA2	1003	6	tf_targeting
Hon CM	FOXA3	1205	6	tf_targeting
Hon CM	FOXB1	852	6	tf_targeting
Hon CM	FOXB2	1048	6	tf_targeting
Hon CM	FOXC1	1142	6	tf_targeting
Hon CM	FOXC2	2544	6	tf_targeting
Hon CM	FOXD1	1824	6	tf_targeting
Hon CM	FOXD2	853	6	tf_targeting
Hon CM	FOXD3	1839	12	tf_targeting
Hon CM	FOXD4L1	1171	6	tf_targeting
Hon CM	FOXE1	1683	6	tf_targeting
Hon CM	FOXE3	1631	6	tf_targeting
Hon CM	FOXF1	1985	6	tf_targeting
Hon CM	FOXF2	1756	6	tf_targeting
Hon CM	FOXG1	1937	6	tf_targeting
Hon CM	FOXH1	169	6	tf_targeting
Hon CM	FOXI1	913	6	tf_targeting
Hon CM	FOXI2	791	6	tf_targeting
Hon CM	FOXI3	1208	6	tf_targeting
Hon CM	FOXJ1	1037	6	tf_targeting
Hon CM	FOXJ2	969	6	tf_targeting
Hon CM	FOXJ3	1633	6	tf_targeting
Hon CM	FOXK1	274	6	tf_targeting
Hon CM	FOXK2	2239	6	tf_targeting
Hon CM	FOXL1	1364	6	tf_targeting
Hon CM	FOXL2	2062	6	tf_targeting
Hon CM	FOXM1	265	6	tf_targeting
Hon CM	FOXN1	947	6	tf_targeting
Hon CM	FOXN2	2543	6	tf_targeting
Hon CM	FOXN3	2903	12	tf_targeting
Hon CM	FOXN4	1238	6	tf_targeting
Hon CM	FOXO1	971	6	tf_targeting
Hon CM	FOXO3	3217	12	tf_targeting
Hon CM	FOXO4	919	6	tf_targeting
Hon CM	FOXO6	1173	6	tf_targeting
Hon CM	FOXP1	3360	18	tf_targeting
Hon CM	FOXP2	1759	12	tf_targeting
Hon CM	FOXP3	986	6	tf_targeting
Hon CM	FOXP4	1730	6	tf_targeting
Hon CM	FOXQ1	846	6	tf_targeting
Hon CM	FOXR1	1274	6	tf_targeting
Hon CM	FOXR2	737	6	tf_targeting
Hon CM	FOXS1	1413	6	tf_targeting
Hon CM	FUBP1	27	6	tf_targeting
Hon CM	FUBP3	185	6	tf_targeting
Hon CM	FXN	35	6	tf_targeting
Hon CM	GABPA	651	6	tf_targeting
Hon CM	GABPB1	105	6	tf_targeting
Hon CM	GAS7	2029	6	tf_targeting
Hon CM	GATA1	1175	6	tf_targeting
Hon CM	GATA2	2812	12	tf_targeting
Hon CM	GATA3	1103	6	tf_targeting
Hon CM	GATA4	911	6	tf_targeting
