family	n_members	n_disease_genes	fraction_disease_genes	n_members_with_data_HonCM	n_members_sig_HonCM	max_distance_HonCM	mean_distance_HonCM	n_members_with_data_HuangfuDE	n_members_sig_HuangfuDE	max_distance_HuangfuDE	mean_distance_HuangfuDE	n_members_with_data_HuangfuESC	n_members_sig_HuangfuESC	max_distance_HuangfuESC	mean_distance_HuangfuESC	n_sig_in_any_lineage	n_lineages_with_any_sig_member	candidate_for_deepdive
RFX-related factors	6	2	0.3333333333333333	6	1	13.96575927734375	3.5191065470377603	6	0	103.339208984375	89.72805582682292	6	1	613.2093444824219	546.9198125203451	2	2	True
unannotated	359	117	0.32590529247910865	347	82	222.0182678222656	6.612693157800679	350	19	125.413818359375	94.74307932826451	350	18	697.5328063964844	529.9923429652623	119	3	False
DBD:THAP finger	10	0	0.0	10	1	9.123486328125	2.2950848388671874	10	1	110.50912475585938	97.94591003417968	10	0	588.9266815185547	542.5501083374023	2	2	False
DBD:mTERF	4	0	0.0	4	2	8.845233154296874	4.797336578369141	4	0	109.69760131835938	95.93703002929688	4	0	584.2588134765625	543.0522148132325	2	1	False
DMRT factors	4	0	0.0	4	0	1.4182647705078124	1.0354553222656249	4	2	113.53890991210938	97.14115753173827	4	0	551.5504577636718	510.490966796875	2	1	False
NK	32	10	0.3125	32	0	4.163177490234375	1.5731454849243163	32	0	106.84959106445312	92.0239028930664	32	1	622.5060485839844	533.8564137458801	1	1	False
DBD:Forkhead	18	7	0.3888888888888889	17	0	3.158444213867188	1.5210923138786765	17	0	105.97767333984376	92.32438569910386	17	1	607.4080169677734	523.4913333668428	1	1	False
TALE-type homeo domain factors	12	3	0.25	12	1	6.604605102539063	1.9190701802571615	12	0	102.36971435546874	91.0720942179362	12	0	588.014697265625	515.0418195088705	1	1	False
DBD:ARID/BRIGHT	11	4	0.36363636363636365	11	0	4.572760009765625	1.5777773770419037	11	0	102.9640869140625	90.24337713068182	11	1	603.5595886230469	520.3200722434304	1	1	False
DBD:CCCH ZF	11	1	0.09090909090909091	11	1	10.515603637695312	2.4154377330433237	11	0	106.1147216796875	89.12711514559659	11	0	583.6696655273438	530.2449293656783	1	1	False
Hairy-related factors	10	2	0.2	10	0	1.89837646484375	1.2734112548828125	10	1	118.669189453125	93.1309326171875	10	0	586.1889587402344	541.0796383666992	1	1	False
Jun-related	10	3	0.3	10	0	2.6695831298828123	1.4981787109374998	10	0	106.40780029296874	97.99523071289062	10	1	602.4256958007812	539.6990594482422	1	1	False
DBD:Nuclear receptor	9	2	0.2222222222222222	9	1	5.66246337890625	1.8773579915364584	9	0	106.95077514648438	96.45896674262153	9	0	598.8863647460937	535.4174258761936	1	1	False
Interferon-regulatory factors	9	8	0.8888888888888888	9	0	2.493515014648437	1.2564944797092013	9	0	103.84732666015626	93.97545301649306	9	1	628.0620147705079	556.8070665147569	1	1	False
RXR-related receptors (NR2)	9	3	0.3333333333333333	9	1	20.26332092285156	3.2095099555121522	9	0	104.689501953125	94.11588202582465	9	0	560.9068939208985	525.2018615722657	1	1	False
DBD:CENPB	8	0	0.0	8	0	2.572784423828125	1.542211151123047	8	1	120.48828735351564	95.36489486694336	8	0	578.1957397460938	521.9990692138672	1	1	False
DBD:SAND	7	4	0.5714285714285714	7	0	2.242529296875	1.3869044712611607	7	0	104.72005615234374	96.86961582728794	7	1	617.7978485107421	534.2202165876116	1	1	False
BED zinc finger factors	6	0	0.0	5	0	2.502914428710937	1.6919110107421873	5	1	112.11163330078124	102.5822863769531	5	0	553.2333526611328	512.8313641357422	1	1	False
DBD:CSD	6	0	0.0	6	0	4.637863159179688	1.844370524088542	6	0	100.62119140625	93.05609741210937	6	1	607.3318786621094	536.9260309855143	1	1	False
Maf-related	6	3	0.5	6	1	9.62696533203125	2.55135243733724	6	0	109.64422607421876	96.05525105794271	6	0	565.3528289794922	524.5885548909505	1	1	False
CREB-related factors	5	2	0.4	5	0	1.73978271484375	1.2656884765625	5	0	109.41318969726562	96.15573364257813	5	1	602.8453033447265	562.8421051025391	1	1	False
Fos-related	5	1	0.2	5	0	3.182794189453125	1.8926507568359376	5	1	112.60972900390624	97.4109619140625	5	0	589.4877899169921	541.48158203125	1	1	False
MyoD/ASC-related factors	5	2	0.4	5	0	1.3651824951171876	1.0670758056640626	5	1	110.79487915039064	97.46780395507814	5	0	557.4327667236328	521.8342901611328	1	1	False
AP-2	4	2	0.5	4	0	1.630078125	1.2898590087890625	4	1	111.90665283203126	97.14844055175782	4	0	576.4740997314453	529.2350761413575	1	1	False
DBD:GTF2I-like	4	0	0.0	2	1	9.001318359375	5.543475341796875	2	0	105.32841796875	95.91203918457032	2	0	578.101318359375	567.4129135131836	1	1	False
Myb/SANT domain factors	4	0	0.0	4	1	14.479217529296877	4.622626495361328	4	0	100.11942138671876	91.04094696044922	4	0	570.9646575927734	475.55640029907227	1	1	False
Regulators of differentiation	4	2	0.5	4	0	2.635589599609375	1.7193572998046873	4	0	104.32674560546874	89.11103057861328	4	1	657.3028869628906	567.5324607849121	1	1	False
TALE-type HD	4	1	0.25	4	0	2.883843994140625	2.414650726318359	4	1	111.7408447265625	99.78392791748047	4	0	589.1185760498047	575.8837089538574	1	1	False
TBX2-related factors	4	4	1.0	4	0	3.681204223632813	2.003223419189453	4	0	106.55149536132812	94.95992889404297	4	1	605.6316040039062	535.229344177246	1	1	False
TEF-1-related factors	4	1	0.25	4	0	2.4839263916015626	1.352349853515625	4	0	95.56405029296874	93.57178802490233	4	1	629.0102355957031	571.2337127685547	1	1	False
DBD:GATA	3	2	0.6666666666666666	3	0	2.0880767822265627	1.5562978108723957	3	1	113.14151000976562	92.07276814778646	3	0	527.4759979248047	498.9341247558594	1	1	False
DBD:Rel	3	1	0.3333333333333333	3	0	2.601409912109375	1.7053232828776042	3	1	121.32630004882812	105.54676106770835	3	0	571.448696899414	528.2598388671875	1	1	False
DBD:TBP	3	1	0.3333333333333333	3	1	9.1297119140625	3.8688985188802083	3	0	93.37329711914064	85.39316813151042	3	0	463.7576965332031	442.82777709960936	1	1	False
Heteromeric CCAAT-binding	3	0	0.0	3	1	6.7847412109375	3.2901418050130204	3	0	101.97601318359376	93.44612426757813	3	0	580.8134002685547	531.160723876953	1	1	False
Runt-related factors	3	2	0.6666666666666666	3	1	6.542251586914063	2.899077351888021	3	0	109.34179077148436	101.21864013671875	3	0	584.5029388427735	544.8884134928386	1	1	False
SMAD factors	3	2	0.6666666666666666	3	1	5.501605224609375	2.5781636555989587	3	0	108.42886962890626	95.47270100911457	3	0	556.14130859375	549.8738321940104	1	1	False
SOX-related factors	13	6	0.46153846153846156	13	0	3.3029022216796875	1.409868680513822	13	0	104.08764038085936	93.60347618689903	13	0	592.5472106933594	545.9549553504356	0	0	False
CEBP-related	9	2	0.2222222222222222	9	0	1.9968353271484376	1.328364732530382	9	0	101.79494018554688	92.31228841145834	9	0	591.4925262451172	529.141354031033	0	0	False
C4-GATA-related	8	7	0.875	8	0	4.468350219726562	1.8251613616943358	8	0	101.73587646484376	90.74355926513672	8	0	575.4296813964844	517.8939651489258	0	0	False
E2F	8	0	0.0	8	0	2.4278656005859376	1.3977081298828125	8	0	107.03967895507812	93.40463562011719	8	0	585.4294311523438	531.9842777252197	0	0	False
Steroid hormone receptors (NR3)	8	7	0.875	8	0	3.183709716796875	1.3978099822998047	8	0	109.79141845703126	92.78766403198242	8	0	563.5177612304688	510.89011573791504	0	0	False
HD-CUT	6	3	0.5	6	0	3.1643463134765626	1.7729700724283852	6	0	107.89966430664064	95.17042846679688	6	0	559.3265167236328	540.4439641316732	0	0	False
PAS domain factors	6	2	0.3333333333333333	6	0	2.209027099609375	1.6300282796223957	6	0	95.61160888671876	84.07208455403646	6	0	558.0322113037109	505.75080769856777	0	0	False
DBD:SMAD	5	4	0.8	5	0	2.1821807861328124	1.4919775390625	5	0	94.75839233398438	82.89917358398438	5	0	571.099819946289	491.2223815917969	0	0	False
DBD:STAT	5	4	0.8	5	0	1.4782257080078125	1.1382611083984375	5	0	97.97725830078124	92.95192749023437	5	0	563.4839660644532	520.6608270263672	0	0	False
NF-kappaB-related factors	5	5	1.0	5	0	1.351458740234375	1.1249468994140623	5	0	105.83464965820312	95.68203002929688	5	0	549.8542633056641	494.09996643066404	0	0	False
Paired domain only	5	5	1.0	4	0	3.1614593505859374	1.5148956298828125	4	0	99.54750366210938	92.81576843261719	4	0	598.8065979003907	530.4196670532226	0	0	False
DBD:HSF	4	1	0.25	0	0			0	0			0	0			0	0	False
DBD:Myb/SANT; GATA	4	1	0.25	4	0	1.4794036865234377	1.1042083740234374	4	0	93.45562744140624	85.58975372314453	4	0	579.9490447998047	540.8231002807618	0	0	False
HSF factors	4	1	0.25	4	0	1.6877105712890623	1.2477890014648436	4	0	94.52029418945312	84.50299682617188	4	0	546.9043579101562	509.5708564758301	0	0	False
Myb-SANT	4	0	0.0	4	0	3.582183837890625	1.8515380859375	4	0	99.22855834960936	91.93054656982422	4	0	587.6442352294922	523.5968292236328	0	0	False
Nuclear factor 1	4	3	0.75	4	0	3.90714111328125	2.2146347045898436	4	0	100.11091918945311	93.58635101318359	4	0	569.2238037109375	530.5926628112793	0	0	False
Paired plus homeo domain	4	4	1.0	4	0	1.526171875	0.9586868286132812	4	0	102.1479736328125	87.87169799804687	4	0	567.3195495605469	498.97253799438477	0	0	False
TBX1-related factors	4	4	1.0	4	0	2.8272705078125	1.6843429565429688	4	0	107.77203369140624	95.34020233154297	4	0	558.4628692626953	528.9159317016602	0	0	False
TCF-7-related factors	4	2	0.5	4	0	2.7318389892578123	1.542694854736328	4	0	98.490625	93.79721374511719	4	0	554.9216186523438	514.2411796569825	0	0	False
DBD:BED ZF	3	0	0.0	3	0	1.3990509033203125	1.2820770263671875	3	0	107.2987548828125	96.94981892903645	3	0	565.88046875	532.5760518391927	0	0	False
DBD:DM	3	0	0.0	3	0	1.5253631591796877	1.358551025390625	3	0	103.76041259765626	99.60860188802083	3	0	529.648095703125	506.7946421305339	0	0	False
DBD:E2F	3	0	0.0	3	0	2.2997100830078123	1.4488820393880208	3	0	103.67036743164064	99.75978597005208	3	0	577.2533966064453	554.5661610921223	0	0	False
DBD:Grainyhead	3	1	0.3333333333333333	3	0	2.62152099609375	1.9566579182942707	3	0	92.69169921875	87.56394653320312	3	0	582.368862915039	515.6105092366537	0	0	False
E2A	3	3	1.0	3	0	1.5966278076171876	1.5188212076822918	3	0	106.505908203125	97.39257405598958	3	0	554.6439208984375	516.5866475423177	0	0	False
TBrain-related factors	3	2	0.6666666666666666	3	0	3.1341705322265625	1.8881561279296875	3	0	92.23726196289064	91.00937703450522	3	0	536.9420989990234	500.0673817952474	0	0	False
p53-related factors	3	3	1.0	3	0	1.399822998046875	1.0198221842447917	3	0	100.41787719726562	98.23930460611979	3	0	540.8353881835938	526.4196136474609	0	0	False
