,pval_outlier
non-targeting_02649,1
non-targeting_02654,1
non-targeting_02668,1
non-targeting_02691,1
non-targeting_02694,1
non-targeting_02705,1
non-targeting_02712,1
non-targeting_02729,1
non-targeting_02736,1
non-targeting_02741,1
non-targeting_02748,1
non-targeting_02764,1
non-targeting_02766,1
non-targeting_02773,1
non-targeting_02776,1
non-targeting_02777,1
non-targeting_02778,1
non-targeting_02779,1
non-targeting_02785,1
non-targeting_02787,1
non-targeting_02789,1
non-targeting_02790,0
non-targeting_02794,1
non-targeting_02799,1
non-targeting_02802,1
non-targeting_02803,1
non-targeting_02811,1
non-targeting_02816,1
non-targeting_02820,1
non-targeting_02821,1
non-targeting_02823,0
non-targeting_02829,1
non-targeting_02830,1
non-targeting_02836,1
non-targeting_02840,1
non-targeting_02845,1
non-targeting_02872,1
non-targeting_02877,1
non-targeting_02879,1
non-targeting_02894,0
non-targeting_02896,1
non-targeting_02900,1
non-targeting_02908,1
non-targeting_02923,1
non-targeting_02937,1
non-targeting_02949,1
non-targeting_02957,1
non-targeting_02960,0
non-targeting_02963,1
non-targeting_02983,1
non-targeting_02989,1
non-targeting_02996,1
non-targeting_02999,1
non-targeting_03001,1
non-targeting_03004,1
non-targeting_03006,1
non-targeting_03012,1
non-targeting_03027,1
non-targeting_03035,1
non-targeting_03037,1
non-targeting_03045,1
non-targeting_03049,1
non-targeting_03054,1
non-targeting_03060,1
non-targeting_03063,1
non-targeting_03068,1
non-targeting_03080,1
non-targeting_03081,1
non-targeting_03097,1
non-targeting_03108,1
non-targeting_03123,1
non-targeting_03124,1
non-targeting_03129,1
non-targeting_03141,1
non-targeting_03155,1
non-targeting_03158,0
non-targeting_03171,1
non-targeting_03197,1
non-targeting_03198,1
non-targeting_03203,1
non-targeting_03205,0
non-targeting_03216,1
non-targeting_03219,1
non-targeting_03223,1
non-targeting_03231,1
non-targeting_03238,1
non-targeting_03240,1
non-targeting_03246,1
non-targeting_03249,1
non-targeting_03262,1
non-targeting_03269,1
non-targeting_03273,1
non-targeting_03284,1
non-targeting_03290,1
non-targeting_03294,1
non-targeting_03296,1
non-targeting_03306,1
non-targeting_03315,1
non-targeting_03318,1
non-targeting_03319,1
non-targeting_03323,1
non-targeting_03342,1
non-targeting_03345,1
non-targeting_03347,1
non-targeting_03358,1
non-targeting_03368,1
non-targeting_03370,1
non-targeting_03393,1
non-targeting_03394,1
non-targeting_03398,1
non-targeting_03404,1
non-targeting_03424,1
non-targeting_03426,1
non-targeting_03438,1
non-targeting_03449,1
non-targeting_03454,1
non-targeting_03471,1
non-targeting_03473,0
non-targeting_03475,1
non-targeting_03478,1
non-targeting_03479,0
non-targeting_03482,1
non-targeting_03483,1
non-targeting_03484,1
non-targeting_03486,1
non-targeting_03491,1
non-targeting_03492,1
non-targeting_03500,1
non-targeting_03514,1
non-targeting_03523,1
non-targeting_03525,1
non-targeting_03530,1
non-targeting_03549,1
non-targeting_03552,0
non-targeting_03553,1
non-targeting_03554,1
non-targeting_03555,1
non-targeting_03560,1
non-targeting_03572,1
non-targeting_03581,1
non-targeting_03591,1
non-targeting_03600,1
non-targeting_03605,1
non-targeting_03614,1
non-targeting_03616,1
non-targeting_03617,1
non-targeting_03623,1
non-targeting_03624,1
non-targeting_03627,1
non-targeting_03629,1
non-targeting_03631,1
non-targeting_03639,1
non-targeting_03647,1
non-targeting_03649,1
non-targeting_03670,1
non-targeting_03674,1
non-targeting_03679,1
non-targeting_03691,1
non-targeting_03692,1
non-targeting_03694,1
non-targeting_03695,1
non-targeting_03700,1
non-targeting_03705,1
non-targeting_03706,1
non-targeting_03713,1
non-targeting_03715,1
non-targeting_03731,1
non-targeting_03735,1
non-targeting_03740,0
non-targeting_03750,1
non-targeting_03751,1
non-targeting_03753,1
non-targeting_03756,1
non-targeting_03758,1
non-targeting_03761,1
non-targeting_03762,1
non-targeting_03768,1
non-targeting_03783,1
