batch	n_cells	guide_umi_median	guide_umi_mean	guide_umi_std	guide_umi_min	guide_umi_max	guide_umi_q25	guide_umi_q75	guides_per_cell_mean	guides_per_cell_std	guides_per_cell_min	guides_per_cell_max	guides_per_cell_median	n_cells_with_guide	n_cells_exactly_1_guide	frac_cells_with_guide	n_guides_total	cells_per_guide_median	cells_per_guide_mean	cells_per_guide_std	cells_per_guide_min	cells_per_guide_max	dataset	short_name
IGVFDS2129VHBD	43344	188.0	493.8081395348837	724.6864487086059	1.0	9119.0	7.0	737.0	5.911775562938353	5.754810343621832	0	55	4.0	36940	5543	0.8522517534145441							Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
IGVFDS2520ZEYH	27054	515.0	767.6098913284542	892.9336466252474	1.0	13563.0	124.0	1078.0	7.612663561765358	5.857491753531687	0	54	7.0	25509	2312	0.9428919937901974							Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
IGVFDS3434HGEI	44166	165.0	515.6961010732238	785.405791621858	1.0	12129.0	6.0	755.0	5.713920210116379	5.6610122308826245	0	73	4.0	38128	6444	0.8632885024679617							Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
IGVFDS4079VXPX	31558	346.0	551.2076810951264	687.7792887235613	1.0	9172.0	8.0	795.0	6.783034412827176	5.939884957802774	0	60	6.0	28002	3819	0.8873185879967045							Huangfu_HUES8-definitive-endoderm-differentiation_TF-Perturb-seq	Huangfu DE
all	130789	2449.0	2981.012531634924	2279.238644992276	1.0	25745.0	1369.0	4002.0	10.89932639595073	6.970113361949816	0	265	10.0	130637	1326	0.998837822752678	14151.0	71.0	100.73577839021978	129.5839995454334	0.0	5289.0	Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
IGVFDS0746MYRH	16783	2581.0	3071.5819579336235	2237.265285164922	1.0	24105.0	1474.5	4110.5	10.807185842817136	6.393243166080218	0	64	10.0	16772	172	0.9993445748674252							Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
IGVFDS0956UUQN	16781	2535.0	2999.851677492402	2156.5707916434835	1.0	19154.0	1445.0	4048.0	11.252607115189798	9.362505415446956	0	265	10.0	16768	161	0.9992253143436028							Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
IGVFDS2908DIHX	15984	2438.0	2916.6609734734734	2193.363003662048	1.0	20135.0	1377.0	3883.25	10.76714214214214	6.536673852383491	0	84	10.0	15963	187	0.9986861861861862							Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
IGVFDS2940LYGK	15255	2876.0	3411.081415929204	2441.953023495281	1.0	21438.0	1659.5	4581.0	11.03716814159292	6.7937932288662	0	86	10.0	15239	128	0.9989511635529336							Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
IGVFDS3348KRMQ	16596	2632.5	3126.4180525427814	2245.2858950343	1.0	23451.0	1515.0	4216.0	10.846167751265366	6.4560734023380855	0	66	10.0	16587	139	0.9994577006507592							Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
IGVFDS5934EZKT	16685	2627.0	3159.5608630506445	2339.489788086136	1.0	22069.0	1480.0	4256.0	10.860173808810307	6.673539507264495	0	73	10.0	16656	156	0.9982619118969134							Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
IGVFDS6247FKDR	14933	2857.0	3505.3125962633094	2735.6071640081805	1.0	25745.0	1600.0	4667.0	10.88227415790531	6.389549956386958	0	72	10.0	14920	137	0.9991294448536796							Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
IGVFDS8623ONYE	17772	1546.0	1822.4556043214045	1319.637639219513	1.0	10859.0	876.0	2458.0	10.75405131667792	6.550754384090925	0	81	10.0	17732	246	0.9977492685122664							Huangfu_HUES8-embryonic-stemcell-differentiation_TF-Perturb-seq	Huangfu ESC
all	1053820	527.0	943.9088193429618	1150.448570090768	1.0	35082.0	149.0	1333.0	2.047701694786586	1.7867398238948786	0	23	2.0	840841	258968	0.7978981230191114	14151.0	103.0	152.49162603349586	258.4043664310824	0.0	14278.0	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
A1_S1	22474	820.0	1241.2582984782416	1361.416755757921	13.0	17948.0	226.0	1796.0	2.250467206549791	1.8372716536190212	0	14	2.0	18812	5272	0.8370561537776987							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
A2_S2	23641	750.0	1192.2294742185186	1368.7603052034997	11.0	33375.0	184.0	1725.0	2.1542235946025974	1.8480302402247275	0	16	2.0	19110	5466	0.8083414407173978							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
A3_S3	23901	757.0	1151.692314129116	1254.7641870718496	9.0	18237.0	205.0	1658.0	2.2282749675745785	1.8533756579759957	0	15	2.0	19815	5650	0.8290448098405925							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
A4_S4	23386	806.0	1271.6691610365176	1439.4198380103296	2.0	21223.0	196.0	1854.75	2.177713161720688	1.8593409517490125	0	15	2.0	18926	5286	0.8092876079705806							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
A5_S5	20980	969.0	1517.708770257388	1691.1265672126217	17.0	24574.0	248.0	2189.0	2.307292659675882	1.941465318752969	0	17	2.0	17407	4748	0.8296949475691134							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
A6_S6	25239	822.0	1355.3848409207972	1584.7728758012713	16.0	25567.0	204.0	1942.0	2.187883830579658	1.8696640519898025	0	16	2.0	20448	5794	0.8101747295851658							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
A7_S7	24713	704.0	1113.891959697325	1240.3796935678436	6.0	14245.0	182.0	1611.0	2.1260470197871566	1.83592044986766	0	17	2.0	19913	5874	0.8057702423825517							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
A8_S8	25292	826.0	1284.1957931361696	1426.6187437128085	1.0	21953.0	224.0	1839.0	2.2471927882334337	1.8970013597019864	0	16	2.0	20888	5859	0.8258737940850862							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
B1_S9	20784	1036.0	1555.4307159353348	1679.881248054565	2.0	21870.0	289.0	2260.0	2.340309853733641	1.8876185797046827	0	18	2.0	17697	4868	0.851472286374134							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
B2_S10	26315	580.0	940.3893596807904	1079.7831294740822	1.0	19465.0	150.0	1356.5	2.0589397681930457	1.799643420419779	0	16	2.0	20871	6291	0.7931217936538096							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
B3_S11	23923	806.0	1236.7269573214062	1373.483383951071	13.0	18396.0	212.0	1787.0	2.221042511390712	1.8449551512339324	0	15	2.0	19743	5542	0.8252727500731514							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
B4_S12	25131	628.0	993.7146154152242	1106.9526233201843	10.0	18469.0	174.0	1429.0	2.1462337352274083	1.794978970212006	0	14	2.0	20620	5990	0.8205005769766424							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
B5_S13	24292	700.0	1146.7307343981558	1309.765703791374	1.0	24677.0	182.0	1654.0	2.133912399143751	1.830801275762286	0	15	2.0	19560	5693	0.805203359130578							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
B6_S14	22810	692.5	1078.4407715914074	1201.403197721405	4.0	20183.0	188.0	1556.0	2.132924156071898	1.7866003010357194	0	14	2.0	18742	5586	0.8216571679088119							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
B7_S15	22610	802.0	1224.627156125608	1347.7724633895637	16.0	26950.0	230.0	1760.0	2.226492702344096	1.8060832975943684	0	16	2.0	19003	5471	0.84046881910659							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
B8_S16	28571	363.0	598.1271219068286	694.2403433991599	1.0	10944.0	98.0	857.0	1.8675580133702008	1.6705654500009528	0	14	2.0	21884	7082	0.7659514892723391							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
C1_S17	3056	999.5	1376.0533376963351	1433.6170338597462	44.0	18561.0	333.0	1912.25	2.7159685863874348	2.1770609426355136	0	17	2.0	2662	603	0.8710732984293194							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
C2_S18	26955	470.0	742.0427749953626	814.7950322839348	13.0	14276.0	134.0	1077.0	1.9989983305509185	1.7514235187482123	0	19	2.0	21212	6621	0.7869411982934521							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
C3_S19	27906	419.0	639.2576148498531	696.688368535589	1.0	12354.0	118.0	920.0	1.975524976707518	1.7467535460144143	0	16	2.0	21854	6897	0.7831290761843331							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
C4_S20	27199	536.0	868.1668811353359	974.146159710244	6.0	14446.0	156.0	1243.0	2.0598919077907274	1.8278293740624891	0	19	2.0	21365	6299	0.7855068201036803							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
C5_S21	25654	596.0	913.0631870273642	1009.5729704985322	10.0	22079.0	168.0	1302.0	2.1182271770484133	1.8309059988633407	0	15	2.0	20563	5987	0.801551414984018							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
C6_S22	24680	790.0	1279.3095623987033	1438.637853517843	6.0	18568.0	222.0	1827.0	2.186507293354943	1.89653466905015	0	23	2.0	19986	5738	0.8098055105348461							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
C7_S23	25989	674.0	1037.8445496171455	1140.3582853007665	11.0	35082.0	196.0	1489.0	2.1749586363461466	1.8456428925025408	0	19	2.0	21283	6213	0.8189233906652814							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
C8_S24	27301	604.0	935.8812863997656	1027.1767161672983	10.0	14656.0	176.0	1340.0	2.1344639390498514	1.8145058851700584	0	17	2.0	22085	6329	0.8089447272993663							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
D1_S25	21851	633.0	923.5548029838452	978.3474583451934	11.0	18052.0	189.0	1331.0	2.145027687520022	1.7867732605420468	0	14	2.0	17910	5240	0.8196421216420301							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
D2_S26	27544	525.0	799.6603979088005	867.6869520021194	13.0	16198.0	151.0	1146.0	2.0624455416787684	1.778973244203297	0	15	2.0	22034	6671	0.7999564333430148							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
D3_S27	25171	608.0	916.4681180723848	975.120011830227	13.0	13127.0	172.0	1329.0	2.1170394501609	1.8113578206809808	0	15	2.0	20401	6162	0.8104962059512931							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
D4_S28	26341	521.0	808.6172127102236	874.0063448213599	15.0	10849.0	152.0	1161.0	2.0243726510003417	1.7495671745696797	0	14	2.0	20927	6349	0.7944649026232868							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
D5_S29	25511	594.0	933.4562345654816	1027.508123863497	15.0	14815.0	168.0	1347.0	2.0834541962290776	1.807811418620081	0	23	2.0	20416	6189	0.8002822311943867							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
D6_S30	26106	544.0	834.4466789243852	905.9147666228068	1.0	13612.0	160.0	1209.0	2.0886003217651115	1.782053884951358	0	22	2.0	21213	6409	0.8125718225695242							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
D7_S31	24604	579.0	876.7300845390994	943.227505298953	8.0	15018.0	175.75	1258.0	2.1225816940334905	1.7941485366887644	0	14	2.0	20003	5883	0.8129978865225167							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
D8_S32	26036	483.0	736.0018820095253	786.451716018775	2.0	16736.0	146.0	1063.0	2.041865109847903	1.7522831223789994	0	18	2.0	20957	6591	0.8049239514518359							Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep
