batch	dataset	short_name	n_cells	umi_median	genes_median	mito_median	guide_umi_median	guides_per_cell_mean
A7_S7	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	24713	12165.0	3932.0	2.8143606	704.0	2.1260470197871566
A8_S8	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	25292	12099.5	3925.5	2.6730723	826.0	2.2471927882334337
B1_S9	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	20784	10542.0	3693.0	2.6583443	1036.0	2.340309853733641
B2_S10	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	26315	13663.0	4299.0	2.6962209	580.0	2.0589397681930457
B3_S11	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	23923	11580.0	3861.0	2.6758533	806.0	2.221042511390712
B4_S12	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	25131	11380.0	3966.0	2.408493	628.0	2.1462337352274083
B5_S13	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	24292	12969.0	4126.0	2.7847347	700.0	2.133912399143751
B6_S14	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	22810	11560.5	3849.0	2.7550163	692.5	2.132924156071898
B7_S15	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	22610	10291.0	3597.0	2.7649062	802.0	2.226492702344096
B8_S16	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	28571	13677.0	4319.0	2.485224	363.0	1.8675580133702008
C1_S17	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	3056	6024.5	2755.0	2.2196212	999.5	2.7159685863874348
C2_S18	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	26955	10530.0	3629.0	2.6383169	470.0	1.9989983305509185
C3_S19	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	27906	10907.5	3706.0	2.5313792	419.0	1.975524976707518
C4_S20	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	27199	11178.0	3757.0	2.645614	536.0	2.0598919077907274
