gene_symbol	ncbi_gene_id	n_disease_associations	mondo_ids	omim_ids	all_disease_ids
SDC3	NCBIGene:9672	1		OMIM:601665	OMIM:601665
ASPA	NCBIGene:443	1		OMIM:271900	OMIM:271900
ASNS	NCBIGene:440	1		OMIM:615574	OMIM:615574
SDHAF1	NCBIGene:644096	1		OMIM:619166	OMIM:619166
SDHAF2	NCBIGene:54949	1		OMIM:601650	OMIM:601650
RBM8A	NCBIGene:9939	1		OMIM:274000	OMIM:274000
RAB33B	NCBIGene:83452	1		OMIM:615222	OMIM:615222
RBM20	NCBIGene:282996	1		OMIM:613172	OMIM:613172
PIK3R2	NCBIGene:5296	1		OMIM:603387	OMIM:603387
PIKFYVE	NCBIGene:200576	1		OMIM:121850	OMIM:121850
PINK1	NCBIGene:65018	1		OMIM:605909	OMIM:605909
PIP5K1C	NCBIGene:23396	1		OMIM:611369	OMIM:611369
PISD	NCBIGene:23761	1		OMIM:618889	OMIM:618889
PITPNM3	NCBIGene:83394	1		OMIM:600977	OMIM:600977
PITRM1	NCBIGene:10531	1		OMIM:619405	OMIM:619405
PITX1	NCBIGene:5307	1		OMIM:119800	OMIM:119800
BTG4	NCBIGene:54766	1		OMIM:619009	OMIM:619009
PJVK	NCBIGene:494513	1		OMIM:610220	OMIM:610220
PKD1	NCBIGene:5310	1		OMIM:173900	OMIM:173900
PKD1L1	NCBIGene:168507	1		OMIM:617205	OMIM:617205
PKD2	NCBIGene:5311	1		OMIM:613095	OMIM:613095
PKDCC	NCBIGene:91461	1		OMIM:618821	OMIM:618821
PKHD1	NCBIGene:5314	1		OMIM:263200	OMIM:263200
PKHD1L1	NCBIGene:93035	1		OMIM:620794	OMIM:620794
BTD	NCBIGene:686	1		OMIM:253260	OMIM:253260
PKP1	NCBIGene:5317	1		OMIM:604536	OMIM:604536
PKP2	NCBIGene:5318	1		OMIM:609040	OMIM:609040
PLA2G2A	NCBIGene:5320	1		OMIM:114500	OMIM:114500
PLA2G4A	NCBIGene:5321	1		OMIM:618372	OMIM:618372
PLA2G5	NCBIGene:5322	1		OMIM:228980	OMIM:228980
BSND	NCBIGene:7809	1		OMIM:602522	OMIM:602522
PLA2G7	NCBIGene:7941	1		OMIM:614278	OMIM:614278
PLAA	NCBIGene:9373	1		OMIM:617527	OMIM:617527
PLAAT3	NCBIGene:11145	1		OMIM:620683	OMIM:620683
PIK3R5	NCBIGene:23533	1		OMIM:615217	OMIM:615217
BTNL2	NCBIGene:56244	1		OMIM:612387	OMIM:612387
PLAGL1	NCBIGene:5325	1		OMIM:601410	OMIM:601410
PIK3CG	NCBIGene:5294	1		OMIM:619802	OMIM:619802
PI4KB	NCBIGene:5298	1		OMIM:620281	OMIM:620281
PIBF1	NCBIGene:10464	1		OMIM:617767	OMIM:617767
PICALM	NCBIGene:8301	1		OMIM:601626	OMIM:601626
PIDD1	NCBIGene:55367	1		OMIM:619827	OMIM:619827
C18orf32	NCBIGene:497661	1		OMIM:619985	OMIM:619985
PIGB	NCBIGene:9488	1		OMIM:618580	OMIM:618580
PIGC	NCBIGene:5279	1		OMIM:617816	OMIM:617816
PIGF	NCBIGene:5281	1		OMIM:619356	OMIM:619356
C12orf57	NCBIGene:113246	1		OMIM:218340	OMIM:218340
PIGH	NCBIGene:5283	1		OMIM:618010	OMIM:618010
PIGK	NCBIGene:10026	1		OMIM:618879	OMIM:618879
PIGL	NCBIGene:9487	1		OMIM:280000	OMIM:280000
PIGM	NCBIGene:93183	1		OMIM:610293	OMIM:610293
PIGN	NCBIGene:23556	1		OMIM:614080	OMIM:614080
PIGO	NCBIGene:84720	1		OMIM:614749	OMIM:614749
PIGP	NCBIGene:51227	1		OMIM:617599	OMIM:617599
PIGQ	NCBIGene:9091	1		OMIM:618548	OMIM:618548
PIGS	NCBIGene:94005	1		OMIM:618143	OMIM:618143
C10orf71	NCBIGene:118461	1		OMIM:621251	OMIM:621251
PIGU	NCBIGene:128869	1		OMIM:618590	OMIM:618590
PIGV	NCBIGene:55650	1		OMIM:239300	OMIM:239300
PIGW	NCBIGene:284098	1		OMIM:616025	OMIM:616025
PIGY	NCBIGene:84992	1		OMIM:616809	OMIM:616809
PIK3C2A	NCBIGene:5286	1		OMIM:618440	OMIM:618440
BUD13	NCBIGene:84811	1		OMIM:621123	OMIM:621123
BSG	NCBIGene:682	1		OMIM:111380	OMIM:111380
BRWD3	NCBIGene:254065	1		OMIM:300659	OMIM:300659
BMPER	NCBIGene:168667	1		OMIM:608022	OMIM:608022
PMFBP1	NCBIGene:83449	1		OMIM:618112	OMIM:618112
PMP2	NCBIGene:5375	1		OMIM:618279	OMIM:618279
BPGM	NCBIGene:669	1		OMIM:222800	OMIM:222800
PMPCA	NCBIGene:23203	1		OMIM:213200	OMIM:213200
PMPCB	NCBIGene:9512	1		OMIM:617954	OMIM:617954
PMS1	NCBIGene:5378	1		OMIM:120435	OMIM:120435
BORCS8	NCBIGene:729991	1		OMIM:620987	OMIM:620987
PMVK	NCBIGene:10654	1		OMIM:175800	OMIM:175800
PNKD	NCBIGene:25953	1		OMIM:118800	OMIM:118800
BOLA3	NCBIGene:388962	1		OMIM:614299	OMIM:614299
PNLDC1	NCBIGene:154197	1		OMIM:619528	OMIM:619528
PNLIP	NCBIGene:5406	1		OMIM:614338	OMIM:614338
PNP	NCBIGene:4860	1		OMIM:613179	OMIM:613179
PNPLA1	NCBIGene:285848	1		OMIM:615024	OMIM:615024
PNPLA2	NCBIGene:57104	1		OMIM:610717	OMIM:610717
BNIP1	NCBIGene:662	1		OMIM:621345	OMIM:621345
PNPLA8	NCBIGene:50640	1		OMIM:251950	OMIM:251950
PNPO	NCBIGene:55163	1		OMIM:610090	OMIM:610090
BNC2	NCBIGene:54796	1		OMIM:618612	OMIM:618612
POC1A	NCBIGene:25886	1		OMIM:614813	OMIM:614813
POC1B	NCBIGene:282809	1		OMIM:615973	OMIM:615973
POF1B	NCBIGene:79983	1		OMIM:300604	OMIM:300604
POFUT1	NCBIGene:23509	1		OMIM:615327	OMIM:615327
BNC1	NCBIGene:646	1		OMIM:618723	OMIM:618723
POGZ	NCBIGene:23126	1		OMIM:616364	OMIM:616364
BMS1	NCBIGene:9790	1		OMIM:107600	OMIM:107600
PMM2	NCBIGene:5373	1		OMIM:212065	OMIM:212065
PLXND1	NCBIGene:23129	1		OMIM:620294	OMIM:620294
PLCB1	NCBIGene:23236	1		OMIM:613722	OMIM:613722
PLXNA1	NCBIGene:5361	1		OMIM:619955	OMIM:619955
PLCB3	NCBIGene:5331	1		OMIM:618961	OMIM:618961
BRWD1	NCBIGene:54014	1		OMIM:620438	OMIM:620438
PLCD1	NCBIGene:5333	1		OMIM:151600	OMIM:151600
PLCE1	NCBIGene:51196	1		OMIM:610725	OMIM:610725
PLCG1	NCBIGene:5335	1		OMIM:620514	OMIM:620514
PLCH1	NCBIGene:23007	1		OMIM:619895	OMIM:619895
PLCZ1	NCBIGene:89869	1		OMIM:617214	OMIM:617214
PLD1	NCBIGene:5337	1		OMIM:212093	OMIM:212093
PLD3	NCBIGene:23646	1		OMIM:617770	OMIM:617770
PLD4	NCBIGene:122618	1		OMIM:621369	OMIM:621369
BRF1	NCBIGene:2972	1		OMIM:616202	OMIM:616202
PLEKHG2	NCBIGene:64857	1		OMIM:616763	OMIM:616763
BRDT	NCBIGene:676	1		OMIM:617644	OMIM:617644
BRD4	NCBIGene:23476	1		OMIM:620568	OMIM:620568
PLIN1	NCBIGene:5346	1		OMIM:613877	OMIM:613877
PLIN4	NCBIGene:729359	1		OMIM:601846	OMIM:601846
PLK4	NCBIGene:10733	1		OMIM:616171	OMIM:616171
BPY2	NCBIGene:9083	1		OMIM:415000	OMIM:415000
PLOD1	NCBIGene:5351	1		OMIM:225400	OMIM:225400
PLOD2	NCBIGene:5352	1		OMIM:609220	OMIM:609220
PLOD3	NCBIGene:8985	1		OMIM:612394	OMIM:612394
PLPBP	NCBIGene:11212	1		OMIM:617290	OMIM:617290
PLS1	NCBIGene:5357	1		OMIM:618787	OMIM:618787
BPNT2	NCBIGene:54928	1		OMIM:614078	OMIM:614078
PLVAP	NCBIGene:83483	1		OMIM:618183	OMIM:618183
PI4K2A	NCBIGene:55361	1		OMIM:620732	OMIM:620732
PHYKPL	NCBIGene:85007	1		OMIM:615011	OMIM:615011
PHYH	NCBIGene:5264	1		OMIM:266500	OMIM:266500
PCK2	NCBIGene:5106	1		OMIM:261650	OMIM:261650
PCNA	NCBIGene:5111	1		OMIM:615919	OMIM:615919
PCNT	NCBIGene:5116	1		OMIM:210720	OMIM:210720
PCSK9	NCBIGene:255738	1		OMIM:603776	OMIM:603776
CACNA1B	NCBIGene:774	1		OMIM:618497	OMIM:618497
PCYT2	NCBIGene:5833	1		OMIM:618770	OMIM:618770
PDCD1	NCBIGene:5133	1		OMIM:621004	OMIM:621004
CABP4	NCBIGene:57010	1		OMIM:610427	OMIM:610427
PDCD6IP	NCBIGene:10015	1		OMIM:620047	OMIM:620047
CABP2	NCBIGene:51475	1		OMIM:614899	OMIM:614899
PDE11A	NCBIGene:50940	1		OMIM:610475	OMIM:610475
PDE1C	NCBIGene:5137	1		OMIM:618140	OMIM:618140
PDE2A	NCBIGene:5138	1		OMIM:619150	OMIM:619150
PDE3A	NCBIGene:5139	1		OMIM:112410	OMIM:112410
PDE4D	NCBIGene:5144	1		OMIM:614613	OMIM:614613
PDE6A	NCBIGene:5145	1		OMIM:613810	OMIM:613810
CA8	NCBIGene:767	1		OMIM:613227	OMIM:613227
PDE6C	NCBIGene:5146	1		OMIM:613093	OMIM:613093
PDE6D	NCBIGene:5147	1		OMIM:615665	OMIM:615665
CA5A	NCBIGene:763	1		OMIM:615751	OMIM:615751
PDE6H	NCBIGene:5149	1		OMIM:610024	OMIM:610024
CA2	NCBIGene:760	1		OMIM:259730	OMIM:259730
CA12	NCBIGene:771	1		OMIM:143860	OMIM:143860
C9orf72	NCBIGene:203228	1		OMIM:105550	OMIM:105550
C8B	NCBIGene:732	1		OMIM:613789	OMIM:613789
PDHA1	NCBIGene:5160	1		OMIM:312170	OMIM:312170
PCLO	NCBIGene:27445	1		OMIM:608027	OMIM:608027
PCK1	NCBIGene:5105	1		OMIM:261680	OMIM:261680
C1QA	NCBIGene:712	1		OMIM:613652	OMIM:613652
PCGF2	NCBIGene:7703	1		OMIM:618371	OMIM:618371
PANX1	NCBIGene:24145	1		OMIM:618550	OMIM:618550
PAPPA2	NCBIGene:60676	1		OMIM:619489	OMIM:619489
PAPSS2	NCBIGene:9060	1		OMIM:612847	OMIM:612847
PARK7	NCBIGene:11315	1		OMIM:606324	OMIM:606324
CACNA2D4	NCBIGene:93589	1		OMIM:610478	OMIM:610478
PARS2	NCBIGene:25973	1		OMIM:618437	OMIM:618437
PATL2	NCBIGene:197135	1		OMIM:617743	OMIM:617743
PAX1	NCBIGene:5075	1		OMIM:615560	OMIM:615560
CACNA2D2	NCBIGene:9254	1		OMIM:618501	OMIM:618501
CACNA2D1	NCBIGene:781	1		OMIM:620149	OMIM:620149
CACNA1I	NCBIGene:8911	1		OMIM:620114	OMIM:620114
PAX5	NCBIGene:5079	1		OMIM:615545	OMIM:615545
PAX8	NCBIGene:7849	1		OMIM:218700	OMIM:218700
PAX9	NCBIGene:5083	1		OMIM:604625	OMIM:604625
PBRM1	NCBIGene:55193	1		OMIM:144700	OMIM:144700
PBX1	NCBIGene:5087	1		OMIM:617641	OMIM:617641
PC	NCBIGene:5091	1		OMIM:266150	OMIM:266150
PCARE	NCBIGene:388939	1		OMIM:613428	OMIM:613428
PCBD1	NCBIGene:5092	1		OMIM:264070	OMIM:264070
PCCA	NCBIGene:5095	1		OMIM:606054	OMIM:606054
PCCB	NCBIGene:5096	1		OMIM:606054	OMIM:606054
PCDH12	NCBIGene:51294	1		OMIM:251280	OMIM:251280
CACNA1E	NCBIGene:777	1		OMIM:618285	OMIM:618285
PCDH19	NCBIGene:57526	1		OMIM:300088	OMIM:300088
PCDHGC4	NCBIGene:56098	1		OMIM:619880	OMIM:619880
PDHA2	NCBIGene:5161	1		OMIM:619828	OMIM:619828
PDHB	NCBIGene:5162	1		OMIM:614111	OMIM:614111
PDHX	NCBIGene:8050	1		OMIM:245349	OMIM:245349
PDK3	NCBIGene:5165	1		OMIM:300905	OMIM:300905
PGAM2	NCBIGene:5224	1		OMIM:261670	OMIM:261670
PGAP1	NCBIGene:80055	1		OMIM:615802	OMIM:615802
PGAP2	NCBIGene:27315	1		OMIM:614207	OMIM:614207
PGAP3	NCBIGene:93210	1		OMIM:615716	OMIM:615716
PGBD5	NCBIGene:79605	1		OMIM:621482	OMIM:621482
PGK1	NCBIGene:5230	1		OMIM:300653	OMIM:300653
PGM1	NCBIGene:5236	1		OMIM:614921	OMIM:614921
PGM2L1	NCBIGene:283209	1		OMIM:620191	OMIM:620191
PGM3	NCBIGene:5238	1		OMIM:615816	OMIM:615816
PGR	NCBIGene:5241	1		OMIM:264080	OMIM:264080
PHACTR1	NCBIGene:221692	1		OMIM:618298	OMIM:618298
PHB1	NCBIGene:5245	1		OMIM:114480	OMIM:114480
PHC1	NCBIGene:1911	1		OMIM:615414	OMIM:615414
PHEX	NCBIGene:5251	1		OMIM:307800	OMIM:307800
PHF21A	NCBIGene:51317	1		OMIM:618725	OMIM:618725
PHF6	NCBIGene:84295	1		OMIM:301900	OMIM:301900
PHF8	NCBIGene:23133	1		OMIM:300263	OMIM:300263
C1QB	NCBIGene:713	1		OMIM:620321	OMIM:620321
PHIP	NCBIGene:55023	1		OMIM:617991	OMIM:617991
PHKA1	NCBIGene:5255	1		OMIM:300559	OMIM:300559
PHKA2	NCBIGene:5256	1		OMIM:306000	OMIM:306000
PHKB	NCBIGene:5257	1		OMIM:261750	OMIM:261750
PHKG2	NCBIGene:5261	1		OMIM:613027	OMIM:613027
PHLDB1	NCBIGene:23187	1		OMIM:620639	OMIM:620639
PHOX2A	NCBIGene:401	1		OMIM:602078	OMIM:602078
PFN1	NCBIGene:5216	1		OMIM:614808	OMIM:614808
PFKM	NCBIGene:5213	1		OMIM:232800	OMIM:232800
C1QBP	NCBIGene:708	1		OMIM:617713	OMIM:617713
PER3	NCBIGene:8863	1		OMIM:616882	OMIM:616882
PDLIM4	NCBIGene:8572	1		OMIM:166710	OMIM:166710
PDP1	NCBIGene:54704	1		OMIM:608782	OMIM:608782
PDSS1	NCBIGene:23590	1		OMIM:614651	OMIM:614651
PDSS2	NCBIGene:57107	1		OMIM:614652	OMIM:614652
C8A	NCBIGene:731	1		OMIM:613790	OMIM:613790
PDXK	NCBIGene:8566	1		OMIM:618511	OMIM:618511
PDYN	NCBIGene:5173	1		OMIM:610245	OMIM:610245
C7	NCBIGene:730	1		OMIM:610102	OMIM:610102
PDZD8	NCBIGene:118987	1		OMIM:620021	OMIM:620021
PEPD	NCBIGene:5184	1		OMIM:170100	OMIM:170100
PER2	NCBIGene:8864	1		OMIM:604348	OMIM:604348
PERCC1	NCBIGene:105371045	1		OMIM:618662	OMIM:618662
C1QC	NCBIGene:714	1		OMIM:620322	OMIM:620322
C6	NCBIGene:729	1		OMIM:612446	OMIM:612446
PET100	NCBIGene:100131801	1		OMIM:619055	OMIM:619055
PET117	NCBIGene:100303755	1		OMIM:619063	OMIM:619063
PEX11B	NCBIGene:8799	1		OMIM:614920	OMIM:614920
C3orf52	NCBIGene:79669	1		OMIM:620177	OMIM:620177
C2orf69	NCBIGene:205327	1		OMIM:619423	OMIM:619423
PEX14	NCBIGene:5195	1		OMIM:614887	OMIM:614887
C2CD3	NCBIGene:26005	1		OMIM:615948	OMIM:615948
PEX19	NCBIGene:5824	1		OMIM:614886	OMIM:614886
C1R	NCBIGene:715	1		OMIM:130080	OMIM:130080
C1QTNF5	NCBIGene:114902	1		OMIM:605670	OMIM:605670
POLD3	NCBIGene:10714	1		OMIM:620869	OMIM:620869
BMP6	NCBIGene:654	1		OMIM:620121	OMIM:620121
RBM12	NCBIGene:10137	1		OMIM:617629	OMIM:617629
PTGER2	NCBIGene:5732	1		OMIM:208550	OMIM:208550
PTH	NCBIGene:5741	1		OMIM:146200	OMIM:146200
BANF1	NCBIGene:8815	1		OMIM:614008	OMIM:614008
PTHLH	NCBIGene:5744	1		OMIM:613382	OMIM:613382
PTPA	NCBIGene:5524	1		OMIM:620482	OMIM:620482
PTPMT1	NCBIGene:114971	1		OMIM:621199	OMIM:621199
PTPN1	NCBIGene:5770	1		OMIM:125853	OMIM:125853
BAIAP2	NCBIGene:10458	1		OMIM:621468	OMIM:621468
PTPN12	NCBIGene:5782	1		OMIM:114500	OMIM:114500
PTPN14	NCBIGene:5784	1		OMIM:613611	OMIM:613611
PTPN23	NCBIGene:25930	1		OMIM:618890	OMIM:618890
PTPRC	NCBIGene:5788	1		OMIM:619924	OMIM:619924
PTPRF	NCBIGene:5792	1		OMIM:616001	OMIM:616001
BAG5	NCBIGene:9529	1		OMIM:619747	OMIM:619747
PTPRO	NCBIGene:5800	1		OMIM:614196	OMIM:614196
BACH2	NCBIGene:60468	1		OMIM:618394	OMIM:618394
PTRH2	NCBIGene:51651	1		OMIM:616263	OMIM:616263
PTRHD1	NCBIGene:391356	1		OMIM:620747	OMIM:620747
PTS	NCBIGene:5805	1		OMIM:261640	OMIM:261640
PUF60	NCBIGene:22827	1		OMIM:615583	OMIM:615583
PUM1	NCBIGene:9698	1		OMIM:620719	OMIM:620719
PURA	NCBIGene:5813	1		OMIM:616158	OMIM:616158
PUS1	NCBIGene:80324	1		OMIM:600462	OMIM:600462
PUS3	NCBIGene:83480	1		OMIM:617051	OMIM:617051
PUS7	NCBIGene:54517	1		OMIM:618342	OMIM:618342
PWAR1	NCBIGene:145624	1		OMIM:176270	OMIM:176270
PTGIS	NCBIGene:5740	1		OMIM:145500	OMIM:145500
PTGDR	NCBIGene:5729	1		OMIM:607277	OMIM:607277
PXDN	NCBIGene:7837	1		OMIM:269400	OMIM:269400
BARD1	NCBIGene:580	1		OMIM:114480	OMIM:114480
PRY2	NCBIGene:442862	1		OMIM:415000	OMIM:415000
BBS5	NCBIGene:129880	1		OMIM:615983	OMIM:615983
BBS4	NCBIGene:585	1		OMIM:615982	OMIM:615982
BBS12	NCBIGene:166379	1		OMIM:615989	OMIM:615989
PSENEN	NCBIGene:55851	1		OMIM:613736	OMIM:613736
PSKH1	NCBIGene:5681	1		OMIM:620962	OMIM:620962
PSMA6	NCBIGene:5687	1		OMIM:608446	OMIM:608446
PSMB1	NCBIGene:5689	1		OMIM:620038	OMIM:620038
PSMB4	NCBIGene:5692	1		OMIM:617591	OMIM:617591
PSMB8	NCBIGene:5696	1		OMIM:256040	OMIM:256040
PSMB9	NCBIGene:5698	1		OMIM:620796	OMIM:620796
PSMC1	NCBIGene:5700	1		OMIM:620071	OMIM:620071
PSMC3	NCBIGene:5702	1		OMIM:619354	OMIM:619354
PSMC3IP	NCBIGene:29893	1		OMIM:614324	OMIM:614324
PSMD12	NCBIGene:5718	1		OMIM:617516	OMIM:617516
PSMG2	NCBIGene:56984	1		OMIM:619183	OMIM:619183
PSPH	NCBIGene:5723	1		OMIM:614023	OMIM:614023
BBS10	NCBIGene:79738	1		OMIM:615987	OMIM:615987
PTBP1	NCBIGene:5725	1		OMIM:621495	OMIM:621495
PTCD3	NCBIGene:55037	1		OMIM:619057	OMIM:619057
BBS1	NCBIGene:582	1		OMIM:209900	OMIM:209900
BBIP1	NCBIGene:92482	1		OMIM:615995	OMIM:615995
PTCHD1	NCBIGene:139411	1		OMIM:300830	OMIM:300830
PTCRA	NCBIGene:171558	1		OMIM:620931	OMIM:620931
PTDSS1	NCBIGene:9791	1		OMIM:151050	OMIM:151050
PWRN1	NCBIGene:791114	1		OMIM:176270	OMIM:176270
BAAT	NCBIGene:570	1		OMIM:619232	OMIM:619232
POLH	NCBIGene:5429	1		OMIM:278750	OMIM:278750
B4GALNT1	NCBIGene:2583	1		OMIM:609195	OMIM:609195
B3GLCT	NCBIGene:145173	1		OMIM:261540	OMIM:261540
B3GAT3	NCBIGene:26229	1		OMIM:245600	OMIM:245600
B3GALNT2	NCBIGene:148789	1		OMIM:615181	OMIM:615181
AXL	NCBIGene:558	1		OMIM:146110	OMIM:146110
RALA	NCBIGene:5898	1		OMIM:619311	OMIM:619311
RALGAPA1	NCBIGene:253959	1		OMIM:618797	OMIM:618797
RANBP2	NCBIGene:5903	1		OMIM:608033	OMIM:608033
RAP1B	NCBIGene:5908	1		OMIM:620654	OMIM:620654
RAP1GDS1	NCBIGene:5910	1		OMIM:620655	OMIM:620655
RAPGEF2	NCBIGene:9693	1		OMIM:618075	OMIM:618075
RARA	NCBIGene:5914	1		OMIM:612376	OMIM:612376
RARB	NCBIGene:5915	1		OMIM:615524	OMIM:615524
RARS1	NCBIGene:5917	1		OMIM:616140	OMIM:616140
RARS2	NCBIGene:57038	1		OMIM:611523	OMIM:611523
RASGRP1	NCBIGene:10125	1		OMIM:618534	OMIM:618534
RASGRP2	NCBIGene:10235	1		OMIM:615888	OMIM:615888
RAX	NCBIGene:30062	1		OMIM:611038	OMIM:611038
AVP	NCBIGene:551	1		OMIM:125700	OMIM:125700
AVIL	NCBIGene:10677	1		OMIM:618594	OMIM:618594
RB1CC1	NCBIGene:9821	1		OMIM:114480	OMIM:114480
RBBP7	NCBIGene:5931	1		OMIM:301137	OMIM:301137
AUTS2	NCBIGene:26053	1		OMIM:615834	OMIM:615834
RBCK1	NCBIGene:10616	1		OMIM:615895	OMIM:615895
RBL2	NCBIGene:5934	1		OMIM:619690	OMIM:619690
RBM10	NCBIGene:8241	1		OMIM:311900	OMIM:311900
RAD51D	NCBIGene:5892	1		OMIM:614291	OMIM:614291
B4GALNT2	NCBIGene:124872	1		OMIM:615018	OMIM:615018
PYCR2	NCBIGene:29920	1		OMIM:616420	OMIM:616420
RAD50	NCBIGene:10111	1		OMIM:613078	OMIM:613078
PYGL	NCBIGene:5836	1		OMIM:232700	OMIM:232700
PYGM	NCBIGene:5837	1		OMIM:232600	OMIM:232600
PYROXD1	NCBIGene:79912	1		OMIM:617258	OMIM:617258
QARS1	NCBIGene:5859	1		OMIM:615760	OMIM:615760
QDPR	NCBIGene:5860	1		OMIM:261630	OMIM:261630
QRICH1	NCBIGene:54870	1		OMIM:617982	OMIM:617982
QRICH2	NCBIGene:84074	1		OMIM:618341	OMIM:618341
QRSL1	NCBIGene:55278	1		OMIM:618835	OMIM:618835
RAB11B	NCBIGene:9230	1		OMIM:617807	OMIM:617807
RAB18	NCBIGene:22931	1		OMIM:614222	OMIM:614222
RAB23	NCBIGene:51715	1		OMIM:201000	OMIM:201000
RAB27A	NCBIGene:5873	1		OMIM:607624	OMIM:607624
RAB28	NCBIGene:9364	1		OMIM:615374	OMIM:615374
RAB32	NCBIGene:10981	1		OMIM:620923	OMIM:620923
SLC25A21	NCBIGene:89874	1		OMIM:618811	OMIM:618811
RAB34	NCBIGene:83871	1		OMIM:620718	OMIM:620718
B9D2	NCBIGene:80776	1		OMIM:614175	OMIM:614175
B4GAT1	NCBIGene:11041	1		OMIM:615287	OMIM:615287
RAB5IF	NCBIGene:55969	1		OMIM:616994	OMIM:616994
RAB7A	NCBIGene:7879	1		OMIM:600882	OMIM:600882
RABL3	NCBIGene:285282	1		OMIM:618680	OMIM:618680
RAC1	NCBIGene:5879	1		OMIM:617751	OMIM:617751
B4GALT7	NCBIGene:11285	1		OMIM:130070	OMIM:130070
RAC3	NCBIGene:5881	1		OMIM:618577	OMIM:618577
RACGAP1	NCBIGene:29127	1		OMIM:619789	OMIM:619789
PRY	NCBIGene:9081	1		OMIM:415000	OMIM:415000
BBS7	NCBIGene:55212	1		OMIM:615984	OMIM:615984
PRUNE1	NCBIGene:58497	1		OMIM:617481	OMIM:617481
POU4F1	NCBIGene:5457	1		OMIM:619352	OMIM:619352
POU6F2	NCBIGene:11281	1		OMIM:601583	OMIM:601583
BICC1	NCBIGene:80114	1		OMIM:601331	OMIM:601331
PPCS	NCBIGene:79717	1		OMIM:618189	OMIM:618189
PPFIA3	NCBIGene:8541	1		OMIM:621122	OMIM:621122
PPFIBP1	NCBIGene:8496	1		OMIM:620024	OMIM:620024
PPIB	NCBIGene:5479	1		OMIM:259440	OMIM:259440
PPIL1	NCBIGene:51645	1		OMIM:619301	OMIM:619301
PPIP5K2	NCBIGene:23262	1		OMIM:618422	OMIM:618422
BHLHE41	NCBIGene:79365	1		OMIM:612975	OMIM:612975
PPM1K	NCBIGene:152926	1		OMIM:615135	OMIM:615135
PPP1CB	NCBIGene:5500	1		OMIM:617506	OMIM:617506
PPP1R12A	NCBIGene:4659	1		OMIM:618820	OMIM:618820
PPP1R13L	NCBIGene:10848	1		OMIM:620519	OMIM:620519
PPP1R15B	NCBIGene:84919	1		OMIM:616817	OMIM:616817
PPP1R17	NCBIGene:10842	1		OMIM:143890	OMIM:143890
PPP1R21	NCBIGene:129285	1		OMIM:619383	OMIM:619383
PPP1R3A	NCBIGene:5506	1		OMIM:125853	OMIM:125853
PPP2CA	NCBIGene:5515	1		OMIM:618354	OMIM:618354
PPP2R1A	NCBIGene:5518	1		OMIM:616362	OMIM:616362
PPP2R1B	NCBIGene:5519	1		OMIM:211980	OMIM:211980
PPP2R2B	NCBIGene:5521	1		OMIM:604326	OMIM:604326
PPP2R5C	NCBIGene:5527	1		OMIM:621185	OMIM:621185
PPP2R5D	NCBIGene:5528	1		OMIM:616355	OMIM:616355
BFSP2	NCBIGene:8419	1		OMIM:611597	OMIM:611597
PPT1	NCBIGene:5538	1		OMIM:256730	OMIM:256730
POU4F3	NCBIGene:5459	1		OMIM:602459	OMIM:602459
POU3F4	NCBIGene:5456	1		OMIM:304400	OMIM:304400
PRSS56	NCBIGene:646960	1		OMIM:613517	OMIM:613517
POU3F3	NCBIGene:5455	1		OMIM:618604	OMIM:618604
POLR1B	NCBIGene:84172	1		OMIM:618939	OMIM:618939
BMP15	NCBIGene:9210	1		OMIM:300510	OMIM:300510
POLR1D	NCBIGene:51082	1		OMIM:613717	OMIM:613717
POLR2A	NCBIGene:5430	1		OMIM:618603	OMIM:618603
BMP1	NCBIGene:649	1		OMIM:614856	OMIM:614856
BLVRA	NCBIGene:644	1		OMIM:614156	OMIM:614156
POLR3F	NCBIGene:10621	1		OMIM:619872	OMIM:619872
POLR3GL	NCBIGene:84265	1		OMIM:619234	OMIM:619234
POLR3K	NCBIGene:51728	1		OMIM:619310	OMIM:619310
POLRMT	NCBIGene:5442	1		OMIM:619743	OMIM:619743
BLTP1	NCBIGene:84162	1		OMIM:617822	OMIM:617822
BLOC1S6	NCBIGene:26258	1		OMIM:614171	OMIM:614171
BLOC1S5	NCBIGene:63915	1		OMIM:619172	OMIM:619172
BLOC1S3	NCBIGene:388552	1		OMIM:614077	OMIM:614077
BLNK	NCBIGene:29760	1		OMIM:613502	OMIM:613502
BLM	NCBIGene:641	1		OMIM:210900	OMIM:210900
BLK	NCBIGene:640	1		OMIM:613375	OMIM:613375
POP1	NCBIGene:10940	1		OMIM:617396	OMIM:617396
POPDC1	NCBIGene:11149	1		OMIM:616812	OMIM:616812
POPDC2	NCBIGene:64091	1		OMIM:621367	OMIM:621367
POPDC3	NCBIGene:64208	1		OMIM:618848	OMIM:618848
BIN1	NCBIGene:274	1		OMIM:255200	OMIM:255200
PORCN	NCBIGene:64840	1		OMIM:305600	OMIM:305600
BICRA	NCBIGene:29998	1		OMIM:619325	OMIM:619325
POU1F1	NCBIGene:5449	1		OMIM:613038	OMIM:613038
PQBP1	NCBIGene:10084	1		OMIM:309500	OMIM:309500
PRCC	NCBIGene:5546	1		OMIM:605074	OMIM:605074
PRCD	NCBIGene:768206	1		OMIM:610599	OMIM:610599
PRDM10	NCBIGene:56980	1		OMIM:620459	OMIM:620459
