gene_symbol	ncbi_gene_id	n_disease_associations	mondo_ids	omim_ids	all_disease_ids
DYM	NCBIGene:54808	2		OMIM:223800;OMIM:607326	OMIM:223800;OMIM:607326
FAR1	NCBIGene:84188	2		OMIM:616154;OMIM:619338	OMIM:616154;OMIM:619338
TNFRSF13B	NCBIGene:23495	2		OMIM:240500;OMIM:609529	OMIM:240500;OMIM:609529
FARS2	NCBIGene:10667	2		OMIM:614946;OMIM:617046	OMIM:614946;OMIM:617046
GABRG2	NCBIGene:2566	2		OMIM:607681;OMIM:618396	OMIM:607681;OMIM:618396
GCH1	NCBIGene:2643	2		OMIM:128230;OMIM:233910	OMIM:128230;OMIM:233910
GBE1	NCBIGene:2632	2		OMIM:232500;OMIM:263570	OMIM:232500;OMIM:263570
TGFB2	NCBIGene:7042	2		OMIM:606631;OMIM:614816	OMIM:606631;OMIM:614816
GATM	NCBIGene:2628	2		OMIM:134600;OMIM:612718	OMIM:134600;OMIM:612718
TGFB3	NCBIGene:7043	2		OMIM:107970;OMIM:615582	OMIM:107970;OMIM:615582
TGFBR1	NCBIGene:7046	2		OMIM:132800;OMIM:609192	OMIM:132800;OMIM:609192
THAP11	NCBIGene:57215	2		OMIM:620940;OMIM:620947	OMIM:620940;OMIM:620947
GALE	NCBIGene:2582	2		OMIM:230350;OMIM:620776	OMIM:230350;OMIM:620776
THBD	NCBIGene:7056	2		OMIM:612926;OMIM:614486	OMIM:612926;OMIM:614486
GABRB3	NCBIGene:2562	2		OMIM:612269;OMIM:617113	OMIM:612269;OMIM:617113
FASLG	NCBIGene:356	2		OMIM:211980;OMIM:601859	OMIM:211980;OMIM:601859
GABRA2	NCBIGene:2555	2		OMIM:103780;OMIM:618557	OMIM:103780;OMIM:618557
GABRA1	NCBIGene:2554	2		OMIM:611136;OMIM:615744	OMIM:611136;OMIM:615744
THBS2	NCBIGene:7058	2		OMIM:603932;OMIM:620865	OMIM:603932;OMIM:620865
GAA	NCBIGene:2548	2		OMIM:232300;OMIM:621314	OMIM:232300;OMIM:621314
G6PD	NCBIGene:2539	2		OMIM:300908;OMIM:611162	OMIM:300908;OMIM:611162
